"Region","Is_Latest","Page","Section","Section_order","Row_key","Slot_key","Row_label_source","Row_label_footnote_refs","Line_order","Param_source","Param_footnote_refs","Value_source","Value_footnote_refs","Row_label_fr","Param_fr","Value_fr","Row_label_es","Model","Param_es","Value_es","Source_lang"
"US","TRUE","Product overview","OUTPUT PORTS","3","dc12_port","front.spec","DC 12V Port","","1","","","12V/10A Max","","","","12 V⎓10 A max.","","JE-1000F","","12 V⎓10 A Máx","en"
"US","TRUE","Product overview","OUTPUT PORTS","3","usb_c","front.low.label","USB-C 30W Output","","1","","","USB-C 30W Output","","","","Sortie USB-C 30W","","JE-1000F","","Salida USB-C 30W","en"
"US","TRUE","Product overview","OUTPUT PORTS","3","usb_c","front.low.spec","USB-C 30W Output","","1","","","30W Max, 5V/3A, 9V/3A, 12V/2.5A, 15V/2A, 20V/1.5A","","","","30W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A","","JE-1000F","","30W Máx, 5 V⎓3 A, 9 V⎓3 A, 12 V⎓2,5 A, 15 V⎓2 A, 20 V⎓1,5 A","en"
"US","TRUE","Product overview","OUTPUT PORTS","3","usb_c","front.high.label","USB-C 100W Output","","1","","","USB-C 100W Output","","","","Sortie USB-C 100W","","JE-1000F","","Salida USB-C 100W","en"
"US","TRUE","Product overview","OUTPUT PORTS","3","usb_c","front.high.spec","USB-C 100W Output","","1","","","100W Max, 5V/3A, 9V/3A, 12V/3A, 15V/3A, 20V/5A","","","","100 W max., 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A","","JE-1000F","","100 W Máx, 5 V⎓3 A, 9 V⎓3 A, 12 V⎓3 A, 15 V⎓3 A, 20 V⎓5 A","en"
"US","TRUE","Product overview","OUTPUT PORTS","3","usb_a","front.label","USB-A 18W Output","","1","","","USB-A 18W Output","","","","Sortie USB-A 18W","","JE-1000F","","Salida USB-A 18W","en"
"US","TRUE","Product overview","OUTPUT PORTS","3","usb_a","front.spec","USB-A 18W Output","","1","","","18W Max, 5-6V/3A, 6-9V/2A, 9-12V/1.5A","","","","18 W max., 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A","","JE-1000F","","18 W Máx, 5-6 V⎓3 A, 6-9 V⎓2 A, 9-12 V⎓1,5 A","en"
"US","TRUE","Product overview","OUTPUT PORTS","3","ac_output","front.label","AC Output","","1","","","AC Output","","","","Sortie CA","","JE-1000F","","Salidas de CA","en"
"US","TRUE","Product overview","OUTPUT PORTS","3","ac_output","front.spec","AC Output","","1","","","120V~60Hz, 12.5A, 1500W Rated","","","","120 V~ 60 Hz, 12,5 A max., 1500 W nominal","","JE-1000F","","120 V~ 60 Hz, 12,5 A Máx, 1500 W nominales","en"
"US","TRUE","Product overview","OUTPUT PORTS","3","total_output","front.label","Total Output","","1","","","Total Output","","","","Sortie totale","","JE-1000F","","Salida total","en"
"US","TRUE","Product overview","OUTPUT PORTS","3","total_output","front.spec","Total Output","","1","","","1500W Rated, 3000W Surge Peak","","","","1500 W nominal, 3000 W crête","","JE-1000F","","1500 W nominales, 3000 W pico de sobretensión","en"
"US","TRUE","Product overview","INPUT PORTS","2","dc_input","side.label","DC Input (2×DC8020 Ports)","","1","","","DC Input (2×DC8020 Ports)","","","","Entrée CC (2×Ports DC8020)","","JE-1000F","","Entrada de CC (2 × Puertos DC8020)","en"
"US","TRUE","Product overview","INPUT PORTS","2","dc_input","side.pv.spec","PV Input","","1","","","PV: 16-60V⎓12A Max, Double to 21A / 400W Max","","","","PV: 16-60 V⎓12 A max., double à 21 A max. / 400 W max.","","JE-1000F","","PV: 16-60 V⎓12 A Máx, Doble a 21 A Máx / 400 W Máx","en"
